,correlation
declined_last_30d,0.05504538380488592
is_foreign,0.05233964149023982
foreign_online,0.04691033977632294
is_late_night,0.03656821153354298
late_night_foreign,0.03211504031671514
txn_velocity_ratio,0.02143942289391428
merchant_country_missing,0.02034704928139825
is_new_account,0.01445185250927768
days_since_last_missing,0.01358179873559433
days_since_last_txn,0.01353162923684514
num_txn_24h,0.013114441311072486
credit_limit,0.011155419288490813
cardholder_age,0.01060530185110672
amount_vs_7day_avg,0.007788451267230686
distinct_merchants_7d,-0.0017879793129636984
avg_7day_spend,-0.0025921017002372773
amount_to_limit_ratio,-0.006049493971719825
account_age_days,-0.008249191955261073
is_weekend,-0.00886223260501519
log_account_age,-0.009164782341363855
day_of_week,-0.009353652275856154
transaction_amount,-0.012026880476706097
is_business_hours,-0.015538025716641845
merchant_concentration,-0.016960325212098403
month,-0.019315301485814416
log_transaction_amount,-0.02261830144973704
hour_of_day,-0.024421023362908252
num_txn_7d,-0.028098807706174594
